id,abbr,VertexX,VertexY
22,KY,541,234
22,KY,541,235
22,KY,538,238
22,KY,534,241
22,KY,529,242
22,KY,488,245
22,KY,477,245
22,KY,473,246
22,KY,471,246
22,KY,471,250
22,KY,464,250
22,KY,459,251
22,KY,453,251
22,KY,454,250
22,KY,455,248
22,KY,457,245
22,KY,457,244
22,KY,455,242
22,KY,457,242
22,KY,458,241
22,KY,459,239
22,KY,462,241
22,KY,464,242
22,KY,465,241
22,KY,465,239
22,KY,464,238
22,KY,464,235
22,KY,465,234
22,KY,469,234
22,KY,470,234
22,KY,469,233
22,KY,469,230
22,KY,470,230
22,KY,470,230
22,KY,470,227
22,KY,470,227
22,KY,472,227
22,KY,477,226
22,KY,480,226
22,KY,481,227
22,KY,482,227
22,KY,483,226
22,KY,486,224
22,KY,487,226
22,KY,487,226
22,KY,488,226
22,KY,488,222
22,KY,491,221
22,KY,492,221
22,KY,494,222
22,KY,496,222
22,KY,496,221
22,KY,496,219
22,KY,498,217
22,KY,503,213
22,KY,503,210
22,KY,505,210
22,KY,507,208
22,KY,509,208
22,KY,509,206
22,KY,508,205
22,KY,508,202
22,KY,512,202
22,KY,514,202
22,KY,516,202
22,KY,517,206
22,KY,521,206
22,KY,523,208
22,KY,525,208
22,KY,526,206
22,KY,530,208
22,KY,532,208
22,KY,534,206
22,KY,537,205
22,KY,537,204
22,KY,538,206
22,KY,539,208
22,KY,541,209
22,KY,541,213
22,KY,541,213
22,KY,545,216
22,KY,545,218
22,KY,548,219
22,KY,549,222
22,KY,550,224
23,LA,461,348
23,LA,458,345
23,LA,459,342
23,LA,459,340
23,LA,452,342
23,LA,432,343
23,LA,432,340
23,LA,432,334
23,LA,436,329
23,LA,439,322
23,LA,439,321
23,LA,439,320
23,LA,440,319
23,LA,439,318
23,LA,439,317
23,LA,438,312
23,LA,438,307
23,LA,395,309
23,LA,395,317
23,LA,396,322
23,LA,396,326
23,LA,397,329
23,LA,398,332
23,LA,402,337
23,LA,403,339
23,LA,403,340
23,LA,403,347
23,LA,399,351
23,LA,402,352
23,LA,399,354
23,LA,399,360
23,LA,398,362
23,LA,399,364
23,LA,403,363
23,LA,411,363
23,LA,420,365
23,LA,424,367
23,LA,428,365
23,LA,430,367
23,LA,431,367
23,LA,432,365
23,LA,430,365
23,LA,428,365
23,LA,427,363
23,LA,427,363
23,LA,427,363
23,LA,427,363
23,LA,428,363
23,LA,429,362
23,LA,429,362
23,LA,430,363
23,LA,431,363
23,LA,433,363
23,LA,436,365
23,LA,436,367
23,LA,439,367
23,LA,440,369
23,LA,439,370
23,LA,439,370
23,LA,440,371
23,LA,447,374
23,LA,449,373
23,LA,450,371
23,LA,452,371
23,LA,453,370
23,LA,454,371
23,LA,454,373
23,LA,453,373
23,LA,454,373
23,LA,457,373
23,LA,458,370
23,LA,458,370
23,LA,457,370
23,LA,458,369
23,LA,458,367
23,LA,459,367
23,LA,461,365
23,LA,461,367
23,LA,461,367
23,LA,461,370
23,LA,461,370
23,LA,462,370
23,LA,464,370
23,LA,464,370
23,LA,466,371
23,LA,469,372
23,LA,470,372
23,LA,471,373
23,LA,473,371
23,LA,473,370
23,LA,472,370
23,LA,470,367
23,LA,464,367
23,LA,462,364
23,LA,463,363
23,LA,464,363
23,LA,464,362
23,LA,464,362
23,LA,464,362
23,LA,465,362
23,LA,469,360
23,LA,465,358
23,LA,465,355
23,LA,465,355
23,LA,464,356
23,LA,463,360
23,LA,461,358
23,LA,461,356
23,LA,462,355
23,LA,463,353
23,LA,462,352
23,LA,461,348
24,ME,700,59
24,ME,701,61
24,ME,703,64
24,ME,703,66
24,ME,701,69
24,ME,701,69
24,ME,697,70
24,ME,693,76
24,ME,693,76
24,ME,693,76
24,ME,693,76
24,ME,692,76
24,ME,692,75
24,ME,692,75
24,ME,691,75
24,ME,690,76
24,ME,689,77
24,ME,689,77
24,ME,689,78
24,ME,689,79
24,ME,689,81
24,ME,686,81
24,ME,686,79
24,ME,685,78
24,ME,685,79
24,ME,684,77
24,ME,682,78
24,ME,683,78
24,ME,684,79
24,ME,683,81
24,ME,683,84
24,ME,683,85
24,ME,682,86
24,ME,681,86
24,ME,680,89
24,ME,675,91
24,ME,674,92
24,ME,673,90
24,ME,671,94
24,ME,672,96
24,ME,671,96
24,ME,671,100
24,ME,669,105
24,ME,668,103
24,ME,667,101
24,ME,664,101
24,ME,664,99
24,ME,659,81
24,ME,656,69
24,ME,657,69
24,ME,658,69
24,ME,658,67
24,ME,658,65
24,ME,660,61
24,ME,661,58
24,ME,659,56
24,ME,659,52
24,ME,660,51
24,ME,661,48
24,ME,661,48
24,ME,661,44
24,ME,663,41
24,ME,664,33
24,ME,667,31
24,ME,667,31
24,ME,668,31
24,ME,668,32
24,ME,669,33
24,ME,671,33
24,ME,672,33
24,ME,672,32
24,ME,674,29
24,ME,677,29
24,ME,677,29
24,ME,682,31
24,ME,683,32
24,ME,690,54
24,ME,694,54
24,ME,696,56
24,ME,696,59
24,ME,697,61
24,ME,699,61
24,ME,699,61
24,ME,699,59
24,ME,700,59
25,MD,636,191
25,MD,633,193
25,MD,629,193
25,MD,627,187
25,MD,625,179
25,MD,624,176
25,MD,624,172
25,MD,617,174
25,MD,606,176
25,MD,579,180
25,MD,579,185
25,MD,580,188
25,MD,580,188
25,MD,581,187
25,MD,582,185
25,MD,584,185
25,MD,585,184
25,MD,587,180
25,MD,587,183
25,MD,590,183
25,MD,592,179
25,MD,593,179
25,MD,595,178
25,MD,596,179
25,MD,598,180
25,MD,600,183
25,MD,601,184
25,MD,605,185
25,MD,605,187
25,MD,608,187
25,MD,608,188
25,MD,609,187
25,MD,613,188
25,MD,611,190
25,MD,609,193
25,MD,609,195
25,MD,609,196
25,MD,609,199
25,MD,614,199
25,MD,617,199
25,MD,620,200
25,MD,622,200
25,MD,622,199
25,MD,620,196
25,MD,620,195
25,MD,618,194
25,MD,617,190
25,MD,617,185
25,MD,617,184
25,MD,617,184
25,MD,617,184
25,MD,617,180
25,MD,617,180
25,MD,617,180
25,MD,618,179
25,MD,618,179
25,MD,620,178
25,MD,622,177
25,MD,622,178
25,MD,622,179
25,MD,620,183
25,MD,620,184
25,MD,622,184
25,MD,622,187
25,MD,620,188
25,MD,620,191
25,MD,622,191
25,MD,622,188
25,MD,623,191
25,MD,622,191
25,MD,622,195
25,MD,624,196
25,MD,626,197
25,MD,627,196
