id,postal_code,top_category,raw_visitor_counts_mean,raw_visitor_counts_sum,raw_visitor_counts_median,placekey,est_year,zip_pop,raw_visitor_counts_mean_norm,raw_visitor_counts_sum_norm,raw_visitor_counts_median_norm,date,zipcode_ID
50,92106,Restaurants and Other Eating Places,120.00884955752213,13561,86.0,121,2019,22316,0.005377704317867097,0.6076805879189819,0.003853737228894067,2021-06-01,6
51,92106,Restaurants and Other Eating Places,133.28695652173914,15328,89.0,121,2019,22316,0.005972708214811754,0.6868614447033519,0.003988169922925255,2021-07-01,6
52,92106,Restaurants and Other Eating Places,125.29203539823007,14158,97.0,121,2019,22316,0.00561444861974503,0.6344326940311884,0.004346657107008424,2021-08-01,6
53,92106,Restaurants and Other Eating Places,113.52293577981648,12374,83.0,121,2019,22316,0.005087064697070107,0.5544900519806417,0.003719304534862879,2021-09-01,6
54,92107,Restaurants and Other Eating Places,42.875,3773,28.5,91,2019,30927,0.0013863290975523006,0.12199696058460245,0.0009215248811717916,2021-01-01,7
55,92107,Restaurants and Other Eating Places,48.31818181818182,4252,29.0,91,2019,30927,0.0015623300616995448,0.13748504542955994,0.0009376919843502444,2021-02-01,7
56,92107,Restaurants and Other Eating Places,63.70454545454545,5606,41.0,91,2019,30927,0.002059835918600105,0.18126556083680925,0.0013257024606331035,2021-03-01,7
57,92107,Restaurants and Other Eating Places,66.73863636363636,5873,45.5,91,2019,30927,0.00215794084016026,0.1898987939341029,0.001471206389239176,2021-04-01,7
58,92107,Restaurants and Other Eating Places,74.7752808988764,6655,50.0,91,2019,30927,0.0024177993629798038,0.21518414330520252,0.0016167103178452485,2021-05-01,7
59,92107,Restaurants and Other Eating Places,88.80898876404493,7904,52.0,91,2019,30927,0.002871568169044684,0.2555695670449769,0.0016813787305590586,2021-06-01,7
60,92107,Restaurants and Other Eating Places,98.78888888888888,8891,57.0,91,2019,30927,0.00319426031910269,0.2874834287192421,0.001843049762343584,2021-07-01,7
61,92107,Restaurants and Other Eating Places,86.02197802197803,7828,55.0,91,2019,30927,0.002781452388591781,0.2531121673618521,0.0017783813496297734,2021-08-01,7
62,92107,Restaurants and Other Eating Places,70.58241758241758,6423,45.0,91,2019,30927,0.0022822264552791274,0.20768260743040065,0.0014550392860607235,2021-09-01,7
63,92108,Restaurants and Other Eating Places,128.30882352941177,17450,76.5,175,2019,27170,0.004722444737924614,0.6422524843577475,0.002815605447184395,2021-01-01,8
64,92108,Restaurants and Other Eating Places,144.91304347826087,19998,93.5,175,2019,27170,0.0053335680337968676,0.7360323886639676,0.003441295546558705,2021-02-01,8
65,92108,Restaurants and Other Eating Places,193.91911764705884,26373,131.5,175,2019,27170,0.007137251293598042,0.9706661759293338,0.004839896945160103,2021-03-01,8
66,92108,Restaurants and Other Eating Places,195.92142857142858,27429,135.5,175,2019,27170,0.007210946947789053,1.0095325726904674,0.004987118145012882,2021-04-01,8
67,92108,Restaurants and Other Eating Places,221.97163120567376,31298,152.0,175,2019,27170,0.008169732469844452,1.1519322782480677,0.0055944055944055935,2021-05-01,8
68,92108,Restaurants and Other Eating Places,230.24822695035462,32465,158.0,175,2019,27170,0.008474355058901529,1.194884063305116,0.005815237394184763,2021-06-01,8
69,92108,Restaurants and Other Eating Places,259.9020979020979,37166,169.0,175,2019,27170,0.009565774674350307,1.3679057784320945,0.006220095693779904,2021-07-01,8
70,92108,Restaurants and Other Eating Places,235.58503401360542,34631,163.0,175,2019,27170,0.008670777843710177,1.2746043430253955,0.005999263894000736,2021-08-01,8
71,92108,Restaurants and Other Eating Places,208.25694444444446,29989,144.5,175,2019,27170,0.007664959309696151,1.1037541405962459,0.005318365844681635,2021-09-01,8
72,92109,Restaurants and Other Eating Places,58.477099236641216,15321,37.0,291,2019,54272,0.0010774819287411783,0.2823002653301887,0.000681751179245283,2021-01-01,9
73,92109,Restaurants and Other Eating Places,71.95833333333333,18997,46.5,291,2019,54272,0.001325883205581761,0.3500331662735849,0.0008567954009433963,2021-02-01,9
74,92109,Restaurants and Other Eating Places,111.73207547169814,29609,67.0,291,2019,54272,0.002058742546279815,0.5455667747641509,0.0012345224056603773,2021-03-01,9
75,92109,Restaurants and Other Eating Places,127.89433962264151,33892,72.0,291,2019,54272,0.002356543698825205,0.6244840801886793,0.0013266509433962266,2021-04-01,9
